Address,Name Tag,Balance,Percentage,Txn Count
"0xf9570d56b233ca5ff0211ab20aad93b8b6370b3a","","38,515.96522429 BNB","0.09747664%","16"
"0x3a587c93185af59d3af1d8862834c327ebe8397c","","37,894.22135689 BNB","0.09590312%","1"
"0xa2dcaf344ec62869cf4c25e3e9cd03d7abfe2ebf","","37,661.98149086 BNB","0.09531537%","1"
"0xa3f20731a621e4adcebf5e67ad7a6bdd256c21d8","","37,591.60924825 BNB","0.09513727%","1"
"0x7843ef169d13b323c52c518f0d9e6c5520d307db","","37,569 BNB","0.09508005%","1"
"0x6ec070c6af6e2b3cfd1c625bc2888bbc7d9eabe6","","37,549 BNB","0.09502943%","1"
"0x19480607194ff38bff28d3314f5852ab4d5e7a91","","37,478 BNB","0.09484974%","1"
"0x1f281fc0decb051261198b6c528f2205d7ab004a","","37,471 BNB","0.09483203%","1"
"0xf89d7b9c864f589bbf53a82105107622b35eaa40","Bybit: Hot Wallet","36,436.96675742 BNB","0.09221508%","11,462,709"
"0xf3315095db3f53af331a83cee931b1e3751cfc8f","","36,231.28081075 BNB","0.09169453%","16"
"0x72a53cdbbcc1b9efa39c834a540550e23463aacb","Crypto.com","35,099.78823735 BNB","0.08883094%","171,485"
"0x94d4418ef8ca61a5018f563f30b50ee470b929e7","","35,091.0067988 BNB","0.08880871%","3"
"0xb428523cdda53640a62e9f26c2d8613a9159b282","","34,701.07403827 BNB","0.08782187%","246,961"
"0xbd612a3f30dca67bf60a39fd0d35e39b7ab80774","Binance: Hot Wallet 13","33,116.43020957 BNB","0.08381143%","7,390,339"
"0xeb2d2f1b8c558a40207669291fda468e50c8a0bb","Binance: Hot Wallet 10","30,397.70483245 BNB","0.07693085%","15,276,527"
"0xe2fc31f816a9b94326492132018c3aecc4a93ae1","Binance: Hot Wallet 7","30,294.63915867 BNB","0.07667001%","24,486,970"
"0x4f2f8448f857994ce83ef14cf4ebb7df0bb14667","","28,472.73526999 BNB","0.07205912%","5"
"0x3a4965738e1d642cc1eda3bc9284f66ec972294d","","25,655.300068 BNB","0.06492872%","159,164"
"0x1c74c7cf21adfff49affd385c11a14dbbb6aa044","","24,149.99676735 BNB","0.06111908%","12"
"0x1fbe2acee135d991592f167ac371f3dd893a508b","Binance: Hot Wallet 19","23,640.87122242 BNB","0.05983058%","3,781,916"
"0x5770815b0c2a09a43c9e5aecb7e2f3886075b605","SwissBorg","23,154.84123673 BNB","0.05860053%","83,719"
"0xa180fe01b906a1be37be6c534a3300785b20d947","Binance: Hot Wallet 16","22,544.59808065 BNB","0.05705612%","16,175,214"
"0x53aaf2d46a0baa1a36f2819c9c50427d89f81397","","22,463.80976447 BNB","0.05685166%","1"
"0xc9c9b93f742a95f35eb4c77107ffd2d72de2f687","","21,467.256841 BNB","0.05432957%","6"
"0x29bdfbf7d27462a2d115748ace2bd71a2646946c","Binance: Hot Wallet 17","21,033.04520305 BNB","0.05323067%","3,635,713"
"0x2361c096f3bbc8c30c471eb7ad8555d5f1750a98","","19,824.5854643 BNB","0.05017228%","3"
"0x515b72ed8a97f42c568d6a143232775018f133c8","Binance: Hot Wallet 12","18,889.99898943 BNB","0.04780702%","7,336,840"
"0x0c501d43206b97fa4300f1b0962742b4f938f70e","","17,856.08835424 BNB","0.04519039%","190"
"0x73f5ebe90f27b46ea12e5795d16c4b408b19cc6f","Binance: Hot Wallet 18","17,487.20341275 BNB","0.04425681%","3,747,267"
"0x3c783c21a0383057d128bae431894a5c19f9cf06","Binance: Hot Wallet 8","17,319.93062709 BNB","0.04383347%","8,439,753"
"0x161ba15a5f335c9f06bb5bbb0a9ce14076fbb645","Binance: Hot Wallet 11","17,272.95244175 BNB","0.04371458%","7,161,311"
"0xea97df87e6c7f68c9f95a69da79e19b834823f25","","17,094.92310051 BNB","0.04326402%","2,479"
"0xee5b5b923ffce93a870b3104b7ca09c3db80047a","","15,000.02031341 BNB","0.03796222%","90"
"0x0cd6388f6768a4edf88d0e42aa42c87a5a43ae4e","","14,548.51283473 BNB","0.03681954%","7"
"0xf983719ca77ded7e2cb7a6040b8b4c31db5cdcbf","","14,432.62484956 BNB","0.03652625%","9"
"0xa9fd6d6f28e25c8d13dcb5d1ac6bfd9889e86f3d","","14,430.43138127 BNB","0.03652070%","5"
"0x1a5c85d8a2ae5fa124b2577e0ff0093d1d2686f0","","14,156.66323687 BNB","0.03582784%","11"
"0x6d624c20292e611d0e1d4dc48e8ca752b2bfeec6","","14,060.77713812 BNB","0.03558517%","12"
"0x3727cfcbd85390bb11b3ff421878123adb866be8","","13,344.65569233 BNB","0.03377280%","1,187"
"0x0e4158c85ff724526233c1aeb4ff6f0c46827fbe","Ceffu: Hot Wallet","12,596.34338457 BNB","0.03187897%","2,143"
"0x3a67638883eff7856b286ccd373d36476c45407a","","12,499.998898 BNB","0.03163514%","12"
"0x1eccd85c9e21f247fadb70f6cff94b14cb737d03","","12,199.99207731 BNB","0.03087588%","7"
"0x427e2cb82551d247daa712ebecf5fac7f1d955ad","","12,074.957223 BNB","0.03055944%","6"
"0x1fb430ba0a417db3954e91b231d885355f1a8c0b","","12,022.89928256 BNB","0.03042769%","30"
"0xf148ef15d7e5d505bb782d8503b13898bad422bf","","11,915.44195888 BNB","0.03015573%","230"
"0x4ee4d7fa1e8e57d220761889df11a6342e1f1330","","11,330.74815045 BNB","0.02867598%","729"
"0x0d0707963952f2fba59dd06f2b425ace40b492fe","Gate.io","11,034.19020262 BNB","0.02792545%","5,840,779"
"0x4dbd466fa5ab2f1cd1830742fe2bdf3da0c29771","","10,785.87889978 BNB","0.02729702%","454"
"0xdccf3b77da55107280bd850ea519df3705d1a75a","Binance: Hot Wallet 9","10,656.86370423 BNB","0.02697051%","8,230,978"
"0x6560ed767d6003d779f60bccd2d7b168cd4a1583","","10,636.27106813 BNB","0.02691839%","19"
"0xb8cbbf78c7ad1cdf4ca0e111b35491f3bfe027ac","","10,300.59862204 BNB","0.02606887%","15"
"0xbf4e222b846bf7368243cc2eaa08eb7408a1ccbd","","10,176.07047068 BNB","0.02575371%","45"
"0x56850a9f62905ee5930150ffafbb98b6aae37bd4","","10,032.71487028 BNB","0.02539090%","2"
"0xbe0eb53f46cd790cd13851d5eff43d12404d33e8","Binance: Hot Wallet 21","10,010.07523213 BNB","0.02533361%","785"
"0x006e2d523ec4ec1ad261fbbcd192659f0b35b975","","10,000.000159 BNB","0.02530811%","7"
"0x430b19f04aa885afee205feef5dbf60429f1a9c2","","10,000.000108 BNB","0.02530811%","31"
"0xf815ffa6c2ef93affb64bbc3f2d8b61f1b45d350","","9,999.99994352 BNB","0.02530811%","16"
"0x536d770b8c5e49fb3d4845afc2ad3aa752b01b62","","9,999.0007078 BNB","0.02530558%","9"
"0x122b0b4e0f3adba869cfa8bb765565be9307b386","","9,871.98232044 BNB","0.02498412%","0"
"0x069ad4b0ada62ad6bf2688e6654827ab637530d5","","9,775.36031463 BNB","0.02473959%","6"
"0x75323e2883e929d0b7a16e06f76c042c55e9de53","","9,263.46031624 BNB","0.02344407%","94"
"0xdb2e9a3a222697b8c808fe04847bc5fdc43175f4","","9,257.001 BNB","0.02342772%","51"
"0x3f08f17973ab4124c73200135e2b675ab2d263d9","","9,184.01256108 BNB","0.02324300%","200"
"0x53bece50c629a5c910a5db2a63a8266fd985392f","","8,482.50504618 BNB","0.02146762%","21"
"0x87b1acce6a1958e522233a737313c086551a5c76","Feg: fBNB Token","8,472.24230717 BNB","0.02144164%","135,059"
"0x55b69477c9fd86d5b40a2adc2fc69b372d0cc5eb","","8,395.0008475 BNB","0.02124616%","3"
"0xe54fba0ca80095894894dc33ba848bb96a186686","","8,140.19932851 BNB","0.02060131%","71"
"0x682d748ad7156871ff01f1ab0f116ac17f8f340a","","7,934.50229597 BNB","0.02008073%","5"
"0x88db104745dae4297231476a62f6f8f9f7481e8d","","7,836.94700077 BNB","0.01983383%","278"
"0xcec75f3af8b3b0904ba1aeb1f98337cd5350e17f","","7,615.54974712 BNB","0.01927352%","66"
"0xe0c88ebf917ac4b661d08307dfd83c48e7b8aa2b","","7,499.15622427 BNB","0.01897895%","55"
"0xc20240109ad5da91e0efcd8009f9aeb6a41b930b","","7,436.43527677 BNB","0.01882021%","0"
"0x556603ee938a22a57157741fde2561951d415432","","7,253.61809935 BNB","0.01835754%","202,795"
"0x1a24a7d920eb6379c27187a5a1171d216f00b2a4","","7,051.11311792 BNB","0.01784503%","5"
"0xf10ffd1ce9a2f2c1907f30bb874d880a5fcc1b9f","","6,972.17122014 BNB","0.01764525%","55"
"0xc4920f5803553bdaa844ac9b9f54220fa9decabb","","6,923.99985666 BNB","0.01752333%","10"
"0x81d8068ff88bb058878017d2a613fd55936ff599","","6,754.21342928 BNB","0.01709364%","2,219"
"0xff7f2207d6be0d46e05226fa0989703f9af92682","","6,736.8863786 BNB","0.01704979%","81"
"0x2909cdd43edcac43d569586b1bed70cdfd9d50f8","","6,658.48431244 BNB","0.01685137%","19"
"0xa8c14313c05dbdac835a055db3f1cd93c2837ca9","","6,641.63991677 BNB","0.01680874%","56"
"0xaa5c0f54722bc5a42321346d363a00a2de5a01bd","","6,507.80045565 BNB","0.01647001%","54"
"0x536b2025e1975da419a8bad66c34c5a16538d6f8","","6,459.03249192 BNB","0.01634659%","10"
"0x035ad0692c7d5f111a4013c9de041def50c777ad","","6,193.79081699 BNB","0.01567531%","87"
"0xfa500178de024bf43cfa69b7e636a28ab68f2741","","6,054.63590763 BNB","0.01532314%","5,029,329"
"0x2fab7f72b4765606897f990c1f734e28eabd36d5","","6,001.799108 BNB","0.01518942%","5"
"0x3f479013c0f660754609da8d94518a9c3701c61d","","5,940.15357027 BNB","0.01503341%","44"
"0x813bc3dc7fc8fd882d86f50df142cd797400397e","","5,692.23843825 BNB","0.01440598%","69"
"0x8076c74c5e3f5852037f31ff0093eeb8c8add8d3","Safemoon Protocol: Old SAFEMOON Token","5,634.25477225 BNB","0.01425923%","4,038,373"
"0xe47eeb71b194fb65f83c4bdfd2eb7dc10fe0dea4","","5,563.90944626 BNB","0.01408120%","98"
"0x310f733b477701a3f25a04cd5db480a8e83cd740","","5,524.2812555 BNB","0.01398091%","0"
"0xa591ee94e53ce82c57e07fab113694c6cdd7d012","","5,493.45290636 BNB","0.01390289%","167"
"0x5049af157a96c777e790c42df97aaf92a1a92eef","","5,462.29133249 BNB","0.01382403%","2"
"0xdfb508e262b683ec52d533b80242ae74087bc7eb","","5,429.83622232 BNB","0.01374189%","450"
"0x4b3b4120d4d7975455d8c2894228789c91a247f8","Anyswap: Bridge Fantom","5,396.9373335 BNB","0.01365863%","292,696"
"0xbefbd54e79b086fd561fd17056d99b07a6bd33d7","","5,326.46235511 BNB","0.01348027%","9"
"0x21f7677bf1aac28d56e960dc7bff0de74a67dd97","","5,253.56192088 BNB","0.01329577%","274"
"0x0480b924a6f1018863e318af33c15f01619b7f2f","","5,227.83704666 BNB","0.01323067%","1,046"
"0x0bc88194e8541c9939fca547b82d03534804e588","","5,205.56776544 BNB","0.01317431%","1"
"0x17e98a24f992bb7bcd62d6722d714a3c74814b94","FLOKI: MultiSig","5,203.31306433 BNB","0.01316860%","609"
"0xd8a184bbeb7098e45a7bdce1f88bfb5785cb22ba","","5,199.990036 BNB","0.01316019%","16"
"0xd9e2060aeb7a87b4327cea1c1d4f423d2819aff7","","5,194.15615056 BNB","0.01314543%","156"
"0x7694399cba11469fdbba450917f0dec53b1fdf44","","5,143.66967746 BNB","0.01301766%","161"
"0x5c83f38fecccb5745ded87f4a17281c7640b47fb","","5,084.58699484 BNB","0.01286813%","1,152,562"
"0x330bdfade01ee9bf63c209ee33102dd334618e0a","Tornado.Cash: 10 BNB","5,070 BNB","0.01283121%","8"
"0xe842e8399301c10d64204477ddab9d3d878e2edf","","5,033.53109703 BNB","0.01273892%","5"
"0x826465e8fabeac97a06b551c18736cbc1b3dcf7b","","5,027.39389103 BNB","0.01272338%","14"
"0x4a4fccc972f50af6943dc5f4daa940d9132294fe","","5,000.087633 BNB","0.01265428%","1"
"0x0d043128146654c7683fbf30ac98d7b2285ded00","Horizon Bridge Exploiter","5,000.006371 BNB","0.01265407%","121"
"0x9c1d84f52a6dd0c7217855602a06e0c12237a42f","","5,000.000009 BNB","0.01265405%","4"
"0x33e6182c23d68459b08c8be6232b1629c774e051","","4,999.999945 BNB","0.01265405%","19"
"0x4cc7a9a050a90b73ef1122a4fa665a9dd11683a8","","4,999.9995521 BNB","0.01265405%","97"
"0xfda74104b156380e3b944ee7a74dfb2f3e4f1a59","","4,999.987783 BNB","0.01265402%","1"
"0x17a30350771d02409046a683b18fe1c13ccfc4a8","","4,893.12120885 BNB","0.01238356%","32"
"0x74ab4929d870b0a3a09b6f3ef0f79a658b31690e","","4,825.270008 BNB","0.01221185%","2"
"0x8249e3d2de40a8ada0981ae6e6218d236a86a169","","4,766.66375852 BNB","0.01206352%","0"
"0xee6d80fe458b22b2992d10d65b3b8908d9895f7a","","4,742.9624621 BNB","0.01200354%","326"
"0x5616e2b8acff064bf902b8a93cbd5da2ca1edc7c","","4,669.88038203 BNB","0.01181858%","91"
"0x9bdb521a97e95177bf252c253e256a60c3e14447","","4,602.969442 BNB","0.01164925%","4,132"
"0xb1cb88b1a1992deb4189ea4f566b594c13392ada","AnySwap: Bridge Avalanche","4,389.65815141 BNB","0.01110940%","66,399"
"0x60a4f98c8fe191bc0d8fbab9a9d74487ba572f1b","","4,336.08096864 BNB","0.01097380%","1"
"0x694446a2647e384fd33a3b6e513a6475f77379af","","4,282.333769 BNB","0.01083778%","6"
"0xf47f0b89ac60456a054cd6a03f535d990c83b9ef","","4,270.39739209 BNB","0.01080757%","83"
"0x436f6186cd323abd8433bf1311389e561356b3b5","","4,231.85012797 BNB","0.01071001%","92"
"0x9490a732fc3521bf40f443cf41aab7394019e011","","4,146.10936687 BNB","0.01049302%","2,795"
"0x625b02b687ec38f3085af5b108dda410775fa76a","","4,116.21152207 BNB","0.01041735%","3,289,244"
